wavelength,flux
147.190002,4.486737e-21
147.309998,4.537376e-21
147.430005,4.630540e-21
147.540002,4.812973e-21
147.659998,4.995163e-21
147.780005,5.041620e-21
147.900000,4.872158e-21
148.019995,4.714014e-21
148.130005,4.768882e-21
148.250000,4.773902e-21
148.369995,4.756945e-21
148.490002,4.931088e-21
148.609998,5.207147e-21
148.719995,5.475297e-21
148.840002,5.504170e-21
148.959998,5.298773e-21
149.080005,5.129324e-21
149.200000,5.123362e-21
149.309998,5.169343e-21
149.430005,5.236182e-21
149.550000,5.488535e-21
149.669995,5.851831e-21
149.780005,5.938074e-21
149.900000,5.901741e-21
150.019995,5.900873e-21
150.140002,5.842351e-21
150.259998,5.793242e-21
150.369995,5.736081e-21
150.490002,5.534976e-21
150.609998,5.333685e-21
150.730005,5.090626e-21
150.850000,4.974253e-21
150.959998,4.920485e-21
151.080005,4.902710e-21
151.200000,5.043279e-21
151.319995,5.221520e-21
151.440002,5.321188e-21
151.550000,5.418787e-21
151.669995,5.475399e-21
151.790002,5.608510e-21
151.909998,5.919216e-21
152.030005,5.997403e-21
152.140002,5.736125e-21
152.259998,5.627572e-21
152.380005,5.532141e-21
152.500000,5.347307e-21
152.619995,5.319087e-21
152.730005,5.292856e-21
152.850000,5.211994e-21
152.969995,5.420806e-21
153.090002,5.401901e-21
153.209998,5.187830e-21
153.319995,5.196463e-21
153.440002,5.341916e-21
153.559998,5.662934e-21
153.680005,5.728892e-21
153.800000,5.803018e-21
153.909998,5.922565e-21
154.030005,5.833036e-21
154.150000,5.707367e-21
154.269995,5.727212e-21
154.390002,5.767994e-21
154.500000,5.676748e-21
154.619995,5.669482e-21
154.740002,5.922458e-21
154.859998,6.011175e-21
154.980005,5.909848e-21
155.090002,5.738789e-21
155.209998,5.774492e-21
155.330005,5.802807e-21
155.450000,5.732609e-21
155.569995,5.507553e-21
155.680005,5.260453e-21
155.800000,5.198216e-21
155.919995,5.173180e-21
156.040002,5.191167e-21
156.159998,5.411994e-21
156.269995,5.557574e-21
156.390002,5.620613e-21
156.509998,5.875416e-21
156.630005,5.989399e-21
156.750000,5.955226e-21
156.859998,5.760875e-21
156.980005,5.571551e-21
157.100000,5.667111e-21
157.219995,5.661142e-21
157.340002,5.630458e-21
157.450000,5.747203e-21
157.569995,5.790660e-21
157.690002,5.932406e-21
157.809998,6.107608e-21
157.930005,6.201773e-21
158.040002,6.189225e-21
158.159998,6.232113e-21
158.280005,6.169719e-21
158.400000,6.146205e-21
158.509998,6.203540e-21
158.630005,6.123936e-21
158.750000,6.149949e-21
158.869995,6.135212e-21
158.990002,6.148270e-21
159.100000,6.151568e-21
159.219995,5.979658e-21
159.340002,6.053891e-21
159.459998,6.124930e-21
159.580005,6.157915e-21
159.690002,6.230959e-21
159.809998,6.222175e-21
159.930005,6.112319e-21
160.050000,6.105036e-21
160.169995,6.103230e-21
160.280005,5.942032e-21
160.400000,6.059641e-21
160.519995,6.127512e-21
160.640002,6.191230e-21
160.759998,6.196165e-21
160.869995,6.256261e-21
160.990002,6.279541e-21
161.109998,6.227195e-21
161.230005,6.243286e-21
161.350000,6.342087e-21
161.459998,6.305931e-21
161.580005,6.451487e-21
161.700000,6.425085e-21
161.819995,6.333101e-21
161.940002,6.317586e-21
162.050000,6.444844e-21
162.169995,6.525526e-21
162.290002,6.494840e-21
162.409998,6.409927e-21
162.530005,6.354643e-21
162.640002,6.387583e-21
162.759998,6.376238e-21
162.880005,6.324455e-21
163.000000,6.342297e-21
163.119995,6.354818e-21
163.230005,6.302098e-21
163.350000,6.301903e-21
163.469995,6.471132e-21
163.590002,6.448783e-21
163.709998,6.333264e-21
163.819995,6.542557e-21
163.940002,6.558274e-21
164.059998,6.380364e-21
164.180005,6.416212e-21
164.300000,6.467364e-21
164.409998,6.448211e-21
164.530005,6.581218e-21
164.650000,6.643424e-21
164.769995,6.576932e-21
164.890002,6.529175e-21
165.000000,6.454161e-21
165.119995,6.278185e-21
165.240002,6.052881e-21
165.359998,5.812682e-21
165.480005,5.318835e-21
165.590002,4.994625e-21
165.709998,5.157362e-21
165.830005,5.435518e-21
165.950000,5.829373e-21
166.069995,5.901286e-21
166.180005,5.915734e-21
166.300000,6.020324e-21
166.419995,6.543805e-21
166.540002,6.490617e-21
166.659998,6.274288e-21
166.769995,6.184352e-21
166.890002,6.156618e-21
167.009998,6.021762e-21
167.130005,6.072793e-21
167.250000,6.156635e-21
167.359998,6.077524e-21
167.480005,6.223670e-21
167.611536,6.466288e-21
167.748633,6.568858e-21
167.885742,6.527514e-21
168.022852,6.605042e-21
168.159961,6.700246e-21
168.297070,6.678959e-21
168.434180,6.602312e-21
168.571289,6.448137e-21
168.708398,6.425116e-21
168.845520,6.520674e-21
168.982629,6.520315e-21
169.119751,6.460016e-21
169.256873,6.427877e-21
169.393994,6.375794e-21
169.531116,6.313548e-21
169.668237,6.267399e-21
169.805359,6.382369e-21
169.942493,6.435262e-21
170.079614,6.371547e-21
170.216748,6.309824e-21
170.353882,6.338387e-21
170.491016,6.382725e-21
170.628149,6.314821e-21
170.765283,6.238794e-21
170.902417,6.309222e-21
171.039551,6.394783e-21
171.176697,6.409929e-21
171.313843,6.425589e-21
171.450977,6.429507e-21
171.588123,6.501374e-21
171.725269,6.441144e-21
171.862415,6.291631e-21
171.999561,6.163128e-21
172.136719,6.275259e-21
172.273865,6.367330e-21
172.411011,6.231320e-21
172.548169,6.135272e-21
172.685327,6.416483e-21
172.822485,6.612585e-21
172.959644,6.600234e-21
173.096802,6.432305e-21
173.233960,6.398258e-21
173.371118,6.400272e-21
173.508289,6.471560e-21
173.645447,6.505733e-21
173.782617,6.555908e-21
173.919788,6.709636e-21
174.056946,6.602694e-21
174.194116,6.486080e-21
174.331287,6.514952e-21
174.468469,6.485713e-21
174.605640,6.484017e-21
174.742810,6.510709e-21
174.879993,6.581226e-21
175.017175,6.640803e-21
175.154346,6.657357e-21
175.291528,6.779815e-21
175.428711,6.945543e-21
175.565894,7.052543e-21
175.703076,6.971919e-21
175.840271,6.832747e-21
175.977454,6.571634e-21
176.114636,6.479045e-21
176.251831,6.516603e-21
176.389026,6.456076e-21
176.526221,6.471320e-21
176.663403,6.604018e-21
176.800598,6.666830e-21
176.937805,6.715821e-21
177.075000,6.761173e-21
177.212195,6.772387e-21
177.349402,6.834286e-21
177.486597,6.848962e-21
177.623804,6.939643e-21
177.761011,7.029843e-21
177.898206,7.097070e-21
178.035413,7.046064e-21
178.172620,6.944155e-21
178.309839,6.938841e-21
178.447046,6.826417e-21
178.584253,6.727665e-21
178.721472,6.739712e-21
178.858679,6.923573e-21
178.995898,7.171350e-21
179.133118,7.315610e-21
179.270337,7.337327e-21
179.407544,7.365956e-21
179.544775,7.378089e-21
179.681995,7.260893e-21
179.819214,7.253436e-21
179.956433,7.358166e-21
180.093665,7.430194e-21
180.230884,7.374776e-21
180.368115,7.255790e-21
180.505347,7.186301e-21
180.642578,7.042777e-21
180.779810,6.880914e-21
180.917041,7.024891e-21
181.054273,7.228326e-21
181.191504,7.284297e-21
181.328735,7.246858e-21
181.465979,7.123495e-21
181.603210,7.040766e-21
181.740454,6.988281e-21
181.877698,7.056218e-21
182.014941,7.007196e-21
182.152185,7.051412e-21
182.289429,7.103054e-21
182.426672,7.095548e-21
182.563916,7.006726e-21
182.701160,6.945560e-21
182.838415,6.964586e-21
182.975659,6.951593e-21
183.112915,6.809134e-21
183.250159,6.833235e-21
183.387415,7.000752e-21
183.524670,7.051793e-21
183.661926,7.089799e-21
183.799182,7.050931e-21
183.936438,6.884286e-21
184.073694,6.695533e-21
184.210962,6.592219e-21
184.348218,6.722320e-21
184.485486,6.754019e-21
184.622742,6.679596e-21
184.760010,6.697161e-21
184.897278,6.919108e-21
185.034546,7.011042e-21
185.171814,6.879510e-21
185.309082,6.833014e-21
185.446350,6.881570e-21
185.583618,6.988493e-21
185.720886,7.011031e-21
185.858167,6.930488e-21
185.995435,6.875416e-21
186.132715,6.932603e-21
186.269983,6.935194e-21
186.407263,6.996534e-21
186.544544,7.059774e-21
186.681824,7.155495e-21
186.819104,7.234942e-21
186.956384,7.289533e-21
187.093665,7.365045e-21
187.230945,7.404856e-21
187.368237,7.380940e-21
187.505518,7.237307e-21
187.642810,7.142207e-21
187.780090,7.197945e-21
187.917383,7.325676e-21
188.054675,7.287312e-21
188.191968,7.358323e-21
188.329260,7.448448e-21
188.466553,7.498530e-21
188.603845,7.471964e-21
188.741138,7.435434e-21
188.878430,7.368668e-21
189.015735,7.396308e-21
189.153027,7.400970e-21
189.290332,7.393671e-21
189.427625,7.355805e-21
189.564929,7.293594e-21
189.702234,7.253987e-21
189.839539,7.202221e-21
189.976831,7.207947e-21
190.114136,7.175088e-21
190.251453,7.257536e-21
190.388757,7.319644e-21
190.526062,7.285525e-21
190.663367,7.331680e-21
190.800684,7.244126e-21
190.937988,7.127718e-21
191.075305,7.109111e-21
191.212610,7.289830e-21
191.349927,7.354165e-21
191.487244,7.296598e-21
191.624561,7.359735e-21
191.761877,7.340603e-21
191.899194,7.424207e-21
192.036511,7.509012e-21
192.173828,7.480211e-21
192.311145,7.479802e-21
192.448474,7.479370e-21
192.585791,7.267728e-21
192.723108,7.274875e-21
192.860437,7.341946e-21
192.997766,7.165042e-21
193.135083,7.068611e-21
193.272412,7.366992e-21
193.409741,7.529319e-21
193.547070,7.548512e-21
193.684399,7.547215e-21
193.821729,7.631478e-21
193.959058,7.647190e-21
194.096387,7.648598e-21
194.233728,7.747264e-21
194.371057,7.766540e-21
194.508386,7.723001e-21
194.645728,7.666173e-21
194.783069,7.675097e-21
194.920398,7.641186e-21
195.057739,7.676706e-21
195.195081,7.695146e-21
195.332422,7.668306e-21
195.469751,7.675651e-21
195.607092,7.715413e-21
195.744446,7.753219e-21
195.881787,7.785477e-21
196.019128,7.835105e-21
196.156470,7.818878e-21
196.293811,7.770067e-21
196.431165,7.772321e-21
196.568506,7.790282e-21
196.705859,7.789170e-21
196.843213,7.710612e-21
196.980554,7.759298e-21
197.117908,7.799155e-21
197.255261,7.878037e-21
197.392615,7.866658e-21
197.529968,7.793012e-21
197.667322,7.819623e-21
197.804675,7.760279e-21
197.942029,7.704406e-21
198.079382,7.776613e-21
198.216736,7.829209e-21
198.354102,7.748328e-21
198.491455,7.710963e-21
198.628821,7.709532e-21
